x,y
867.8101,92.74557
868.2922,92.73199
868.7743,92.71684
869.2565,92.69958
869.7385,92.68017
870.2207,92.65896
870.7028,92.63658
871.1849,92.61379
871.667,92.59129
872.1492,92.56963
872.6312,92.54912
873.1134,92.52994
873.5955,92.51202
874.0776,92.49514
874.5597,92.479
875.0419,92.46317
875.5239,92.44728
876.0061,92.431
876.4882,92.41422
876.9703,92.39688
877.4524,92.37909
877.9346,92.36098
878.4166,92.34266
878.8988,92.32415
879.3809,92.30546
879.863,92.28654
880.3451,92.26734
880.8273,92.24776
881.3093,92.22758
881.7915,92.20644
882.2736,92.18394
882.7557,92.15963
883.2378,92.13335
883.72,92.10523
884.202,92.0758
884.6842,92.04587
885.1663,92.01635
885.6484,91.98791
886.1305,91.96084
886.6127,91.93496
887.0947,91.90984
887.5769,91.8849
888.059,91.85978
888.5411,91.83453
889.0232,91.80956
889.5054,91.78551
889.9874,91.7631
890.4696,91.74276
890.9517,91.7247
891.4338,91.70879
891.9159,91.69475
892.3981,91.68221
892.8801,91.67087
893.3623,91.66059
893.8444,91.65133
894.3265,91.6433
894.8086,91.63676
895.2908,91.63221
895.7728,91.6302
896.255,91.63116
896.7371,91.63541
897.2192,91.64287
897.7013,91.65319
898.1835,91.66574
898.6655,91.67992
899.1477,91.69523
899.6298,91.71144
900.1119,91.72858
900.594,91.74679
901.0762,91.76591
901.5582,91.78555
902.0404,91.80504
902.5225,91.82349
903.0046,91.84024
903.4867,91.85479
903.9689,91.86712
904.4509,91.87731
904.9331,91.8856
905.4152,91.89206
905.8973,91.89664
906.3794,91.89918
906.8616,91.8996
907.3436,91.89806
907.8258,91.89488
908.3079,91.89047
908.79,91.88523
909.2721,91.87917
909.7543,91.87215
910.2363,91.86381
910.7185,91.85387
911.2006,91.84241
911.6827,91.82994
912.1648,91.81725
912.647,91.80528
913.129,91.79477
913.6112,91.78606
914.0933,91.77895
914.5754,91.77292
915.0575,91.76719
915.5397,91.76098
916.0217,91.75365
916.5039,91.74474
916.986,91.73412
917.4681,91.72192
917.9502,91.70851
918.4324,91.6945
918.9144,91.6806
919.3966,91.6675
919.8787,91.65571
920.3608,91.64541
920.8429,91.63637
921.3251,91.62803
921.8071,91.61978
922.2893,91.61113
922.7714,91.60188
923.2535,91.59212
923.7356,91.58202
924.2178,91.57181
924.6998,91.56143
925.182,91.55062
925.6641,91.53906
926.1462,91.52643
926.6283,91.51265
927.1105,91.49792
927.5925,91.48255
928.0747,91.46681
928.5568,91.45079
929.0389,91.4343
929.521,91.41706
930.0032,91.39877
930.4852,91.37929
930.9674,91.35865
931.4495,91.33698
931.9316,91.3143
932.4137,91.29045
932.8959,91.26501
933.3779,91.23743
933.8601,91.20728
934.3422,91.17444
934.8243,91.13904
935.3064,91.10155
935.7886,91.06247
936.2706,91.02207
936.7528,90.98042
937.2349,90.93733
937.717,90.8924
938.1991,90.84543
938.6813,90.79621
939.1633,90.7448
939.6455,90.69115
940.1276,90.63525
940.6097,90.57684
941.0918,90.51571
941.574,90.45161
942.056,90.38466
942.5382,90.31516
943.0203,90.24362
943.5024,90.17074
943.9845,90.09703
944.4667,90.02278
944.9487,89.94816
945.4309,89.87325
945.913,89.79825
946.3951,89.72347
946.8772,89.64945
947.3594,89.57668
947.8414,89.50565
948.3236,89.43677
948.8057,89.37026
949.2878,89.30625
949.7699,89.24493
950.2521,89.18632
950.7341,89.13046
951.2163,89.07719
951.6984,89.02625
952.1805,88.97733
952.6626,88.93028
953.1448,88.88524
953.6268,88.84269
954.109,88.80331
954.5911,88.76765
955.0732,88.73595
955.5553,88.70795
956.0375,88.68303
956.5195,88.66026
957.0017,88.63902
957.4838,88.61876
957.9659,88.59945
958.448,88.58111
958.9302,88.56374
959.4122,88.54706
959.8944,88.53065
960.3765,88.51391
960.8586,88.49641
961.3407,88.47805
961.8229,88.45908
962.3049,88.43992
962.7871,88.42091
963.2692,88.40223
963.7513,88.38375
964.2334,88.36504
964.7156,88.34559
965.1976,88.32492
965.6798,88.30266
966.1619,88.27845
966.644,88.25204
967.1261,88.22309
967.6083,88.19129
968.0903,88.15642
968.5725,88.11848
969.0546,88.07758
969.5367,88.03389
970.0188,87.98756
970.501,87.93858
970.983,87.88675
971.4652,87.83179
971.9473,87.77352
972.4294,87.71187
972.9115,87.64688
973.3937,87.57866
973.8757,87.50713
974.3579,87.432
974.84,87.35284
975.3221,87.26936
975.8042,87.18156
976.2864,87.09004
976.7684,86.9959
977.2506,86.90039
977.7327,86.80457
978.2148,86.70899
978.6969,86.61356
979.1791,86.51767
979.6611,86.42065
980.1433,86.32211
980.6254,86.22215
981.1075,86.12133
981.5896,86.02045
982.0718,85.92024
982.5538,85.82114
983.036,85.72332
983.5181,85.62685
984.0002,85.53191
984.4823,85.43884
984.9645,85.34809
985.4465,85.26017
985.9287,85.17534
986.4108,85.09367
986.8929,85.01511
987.375,84.9397
987.8572,84.8676
988.3392,84.79932
988.8214,84.73515
989.3035,84.67519
989.7856,84.61892
990.2677,84.5654
990.7499,84.51346
991.2319,84.46203
991.7141,84.41041
992.1962,84.35842
992.6783,84.30602
993.1604,84.25325
993.6426,84.19984
994.1246,84.14524
994.6068,84.08881
995.0889,84.03011
995.571,83.96904
996.0531,83.90591
996.5353,83.84114
997.0173,83.77501
997.4995,83.70739
997.9816,83.63784
998.4637,83.56573
998.9458,83.49082
999.428,83.41335
999.91,83.33414
1000.392,83.2543
1000.874,83.175
1001.356,83.09692
1001.839,83.02035
1002.321,82.94521
1002.803,82.87132
1003.285,82.79874
1003.767,82.72775
1004.249,82.65878
1004.731,82.59224
1005.213,82.52844
1005.695,82.46751
1006.178,82.40961
1006.66,82.35503
1007.142,82.30426
1007.624,82.25777
1008.106,82.21573
1008.588,82.17786
1009.07,82.14336
1009.552,82.11128
1010.035,82.08083
1010.517,82.05181
1010.999,82.02466
1011.481,82.00014
1011.963,81.97903
1012.445,81.96146
1012.927,81.94698
1013.409,81.93468
1013.891,81.92358
1014.374,81.91315
1014.856,81.90342
1015.338,81.89486
1015.82,81.88811
1016.302,81.88338
1016.784,81.88048
1017.266,81.87887
1017.748,81.87805
1018.23,81.8779
1018.713,81.87878
1019.195,81.88124
1019.677,81.88578
1020.159,81.8924
1020.641,81.90056
1021.123,81.90947
1021.605,81.91853
1022.087,81.92761
1022.57,81.93723
1023.052,81.9481
1023.534,81.96089
1024.016,81.97562
1024.498,81.99168
1024.98,82.00819
1025.462,82.02438
1025.944,82.04008
1026.427,82.05594
1026.909,82.07285
1027.391,82.09172
1027.873,82.11301
1028.355,82.13651
1028.837,82.16162
1029.319,82.18784
1029.801,82.215
1030.283,82.24351
1030.766,82.27402
1031.248,82.30698
1031.73,82.34235
1032.212,82.37955
1032.694,82.4178
1033.176,82.45647
1033.658,82.49557
1034.14,82.53571
1034.622,82.57779
1035.105,82.62249
1035.587,82.66987
1036.069,82.71913
1036.551,82.76905
1037.033,82.81819
1037.515,82.86549
1037.997,82.91042
1038.479,82.95288
1038.962,82.99292
1039.444,83.03055
1039.926,83.06556
1040.408,83.09774
1040.89,83.12691
1041.372,83.15323
1041.854,83.17702
1042.336,83.19859
1042.818,83.21802
1043.301,83.2351
1043.783,83.24948
1044.265,83.26104
1044.747,83.27015
1045.229,83.27787
1045.711,83.28553
1046.193,83.29454
1046.675,83.30567
1047.157,83.31905
1047.64,83.33416
1048.122,83.35032
1048.604,83.36722
1049.086,83.38509
1049.568,83.40466
1050.05,83.42676
1050.532,83.45186
1051.014,83.47983
1051.497,83.51002
1051.979,83.54147
1052.461,83.57356
1052.943,83.6062
1053.425,83.63984
1053.907,83.67507
1054.389,83.71235
1054.871,83.75167
1055.354,83.79262
1055.836,83.83453
1056.318,83.87698
1056.8,83.91978
1057.282,83.96313
1057.764,84.00725
1058.246,84.05227
1058.728,84.09796
1059.21,84.14399
1059.693,84.19
1060.175,84.23596
1060.657,84.28213
1061.139,84.3289
1061.621,84.37646
1062.103,84.42468
1062.585,84.4728
1063.067,84.52001
1063.549,84.56557
1064.031,84.60927
1064.514,84.65141
1064.996,84.69279
1065.478,84.73417
1065.96,84.77603
1066.442,84.81834
1066.924,84.86081
1067.406,84.90311
1067.888,84.94521
1068.371,84.9874
1068.853,85.03022
1069.335,85.07413
1069.817,85.11934
1070.299,85.1656
1070.781,85.21249
1071.263,85.25961
1071.745,85.30686
1072.228,85.35441
1072.71,85.4026
1073.192,85.45174
1073.674,85.50184
1074.156,85.55271
1074.638,85.60416
1075.12,85.65619
1075.602,85.70917
1076.084,85.76366
1076.567,85.82024
1077.049,85.87907
1077.531,85.93971
1078.013,86.00126
1078.495,86.06266
1078.977,86.12296
1079.459,86.18168
1079.941,86.23868
1080.424,86.29401
1080.906,86.34753
1081.388,86.3988
1081.87,86.44714
1082.352,86.49197
1082.834,86.53301
1083.316,86.57053
1083.798,86.60516
1084.281,86.63767
1084.763,86.66853
1085.245,86.69769
1085.727,86.72462
1086.209,86.74879
1086.691,86.76978
1087.173,86.78777
1087.655,86.80345
1088.137,86.81773
1088.62,86.83144
1089.102,86.8451
1089.584,86.85876
1090.066,86.87223
1090.548,86.88546
1091.03,86.89844
1091.512,86.91148
1091.994,86.92484
1092.476,86.9386
1092.958,86.95261
1093.441,86.96662
1093.923,86.98047
1094.405,86.99432
1094.887,87.00882
1095.369,87.02478
1095.851,87.04302
1096.333,87.064
1096.815,87.08754
1097.298,87.11322
1097.78,87.14045
1098.262,87.16898
1098.744,87.19892
1099.226,87.23075
1099.708,87.26495
1100.19,87.30184
1100.672,87.34129
1101.155,87.38306
1101.637,87.42692
1102.119,87.47287
1102.601,87.52138
1103.083,87.57311
1103.565,87.62865
1104.047,87.6882
1104.529,87.75148
1105.011,87.81787
1105.494,87.8867
1105.976,87.95764
1106.458,88.0307
1106.94,88.10619
1107.422,88.18452
1107.904,88.26579
1108.386,88.3498
1108.868,88.43602
1109.351,88.5239
1109.833,88.61301
1110.315,88.70316
1110.797,88.79431
1111.279,88.88641
1111.761,88.97922
1112.243,89.07227
1112.725,89.16505
1113.208,89.25719
1113.69,89.34852
1114.172,89.43909
1114.654,89.52896
1115.136,89.61809
1115.618,89.70603
1116.1,89.79213
1116.582,89.8755
1117.064,89.95548
1117.547,90.03168
1118.029,90.104
1118.511,90.17262
1118.993,90.23766
1119.475,90.29913
1119.957,90.35697
1120.439,90.41115
1120.921,90.46178
1121.403,90.50932
1121.885,90.55453
1122.368,90.59814
1122.85,90.64089
1123.332,90.68306
1123.814,90.72465
1124.296,90.76542
1124.778,90.80515
1125.26,90.84372
1125.742,90.88122
1126.225,90.91785
1126.707,90.95382
1127.189,90.98914
1127.671,91.02367
1128.153,91.05716
1128.635,91.08942
1129.117,91.12032
1129.599,91.14993
1130.082,91.17834
1130.564,91.20553
1131.046,91.23138
1131.528,91.25566
1132.01,91.27808
1132.492,91.29847
